,series_id,event,step,score
0,fe90110788d2,wakeup,581609,2.2126762042628956
1,fe90110788d2,wakeup,581765,0.030538509378826267
2,fe90110788d2,wakeup,581837,0.01096100867001544
3,fe90110788d2,wakeup,581357,0.0017840836705138475
4,fe90110788d2,wakeup,581249,0.0005677281568211977
5,fe90110788d2,onset,574613,2.2327771196617623
6,fe90110788d2,onset,574469,0.027472714872005914
7,fe90110788d2,onset,574805,0.009438316486881038
8,fe90110788d2,onset,574913,0.0018983861989763286
9,fe90110788d2,onset,574289,0.0004618050056927202
10,fe90110788d2,wakeup,560873,1.4853578861767471
11,fe90110788d2,wakeup,560705,0.050836101803532284
12,fe90110788d2,wakeup,560561,0.0015613006356032287
13,fe90110788d2,onset,556565,2.3635605285633963
14,fe90110788d2,onset,556361,0.006892255314032959
15,fe90110788d2,onset,556913,0.0005322217043259354
16,fe90110788d2,wakeup,547145,1.416163282121987
17,fe90110788d2,wakeup,547289,0.09412037725938042
18,fe90110788d2,wakeup,547025,0.0900854230526433
19,fe90110788d2,wakeup,547457,0.0013912847093786463
20,fe90110788d2,wakeup,546833,0.0010148183015287302
21,fe90110788d2,onset,538961,0.9667750112298054
22,fe90110788d2,onset,538877,0.09564876274842944
23,fe90110788d2,wakeup,529109,2.3615787099024246
24,fe90110788d2,wakeup,529277,0.015809741216491646
25,fe90110788d2,wakeup,529373,0.006669368502066826
26,fe90110788d2,wakeup,528977,0.014827483420418026
27,fe90110788d2,wakeup,528881,0.004317851508758633
28,fe90110788d2,wakeup,528785,0.001463701311336638
29,fe90110788d2,onset,522857,2.446431822513283
30,fe90110788d2,onset,522677,0.01715354271272835
31,fe90110788d2,onset,522593,0.004889573396655995
32,fe90110788d2,wakeup,511457,0.2903760236158807
33,fe90110788d2,wakeup,511289,0.04988870669674424
34,fe90110788d2,wakeup,511589,0.03429575963818798
35,fe90110788d2,wakeup,511385,0.025554708479105084
36,fe90110788d2,wakeup,511013,0.007504112642615638
37,fe90110788d2,wakeup,511157,0.00374824706884954
